centreline_id,direction,location,class_type,dt,volume_daily
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-13,58
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-12,67
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-11,373
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-10,268
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-09,285
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-08,319
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-07,286
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-06,139
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-05,675
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-04,565
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-03,239
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-02,268
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-01,207
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-31,117
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-30,101
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-29,48
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-28,150
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-27,87
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-26,285
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-25,454
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-24,499
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-23,266
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-22,391
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-21,205
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-20,57
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-19,128
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-18,620
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-17,692
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-16,696
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-15,897
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-14,836
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-13,316
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-12,400
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-11,576
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-10,676
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-09,819
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-08,859
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-07,688
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-06,462
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-05,555
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-04,673
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-03,440
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-02,494
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-01-01,195
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-31,325
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-30,298
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-29,317
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-28,462
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-27,409
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-26,289
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-25,147
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-24,350
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-23,372
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-22,403
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-21,738
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-20,990
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-19,1009
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-18,947
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-17,911
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-16,589
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-15,644
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-14,730
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-13,861
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-12,1017
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-11,979
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-10,960
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-09,516
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-08,494
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-07,725
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-06,997
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-05,1087
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-04,1083
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-03,1043
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-02,632
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-12-01,561
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-30,1025
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-29,1092
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-28,902
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-27,919
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-26,442
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-25,655
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-24,448
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-23,1011
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-22,805
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-21,902
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-20,1051
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-19,1241
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-18,411
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-17,605
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-16,451
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-15,957
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-14,1274
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-13,1293
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-12,1355
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-11,679
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-10,632
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-09,692
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-08,1488
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-07,1423
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-06,1016
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-05,1043
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-04,881
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-03,747
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-02,962
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-11-01,958
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-31,1001
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-30,1936
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-29,1428
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-28,731
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-27,582
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-26,1659
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-25,1836
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-24,1799
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-23,1583
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-22,1878
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-21,868
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-20,1144
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-19,1788
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-18,1815
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-17,1822
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-16,1917
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-15,1249
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-14,1204
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-10-13,1198
